fila_excel,pedido,producto,cantidad,error
1508,91246.0,FLORA MINI PLUS CUADRADA CON MINI ROSAS ROSADAS,1,producto no encontrado
1513,91251.0,Mini Box Hortensias y Mini Rosa (en base de cerámica),1,producto no encontrado
1518,91256.0,Cerámica Orquidea Aire (EN BASE ROSADA),1,producto no encontrado
1526,91264.0,4 BOUQUET SURTIDOS COLORIDOS PONERLE COLIBRÍ,1,producto no encontrado
1527,91265.0,Cerámica Orquidea Aire ( en base de cerÁMICA),1,producto no encontrado
1541,91279.0,Flora Box Solitario Rosa rosada,1,producto no encontrado
1556,91294.0,flores surtidas,1,producto no encontrado
1557,91295.0,Bouquet Gerbera (OJO HACERLO EN UN CANASTO CON LAS FLORES DEL BOUQUET GERBERA),1,producto no encontrado
1561,91299.0,Mini Box CLAVELES ROSADOS,1,producto no encontrado
1563,91301.0,Arreglo Personalizado 8 en totnos lilas y rosados),2,producto no encontrado
1565,91303.0,Flora Box Mediana Pastel,1,producto no encontrado
1571,91309.0,bouquet 24 rosas,1,producto no encontrado
1588,91326.0,Arreglo Personalizado / oso de peluche,1,producto no encontrado
